,Date,Quality Level,AQI,AQI Rank in China,PM2.5,PM10,SO2,NO2,CO,O3,Weather Condition,Temperature,Wind Force and Wind Direction
36,2013-12-03,轻度污染,113,31,65,88,38,54,1.58,20,晴/晴,-1℃/14℃,无持续风向≤3级/无持续风向≤3级
37,2013-12-04,良,99,29,83,101,42,62,2.04,11,多云/多云,0℃/12℃,无持续风向≤3级/无持续风向≤3级
38,2013-12-05,良,83,19,39,55,30,38,1.17,23,晴/晴,-3℃/12℃,无持续风向≤3级/无持续风向≤3级
39,2013-12-06,良,93,32,125,158,49,77,2.46,6,晴/霾,-2℃/11℃,无持续风向≤3级/无持续风向≤3级
40,2013-12-07,重度污染,233,76,248,292,63,100,4.34,3,霾/霾,-1℃/9℃,无持续风向≤3级/无持续风向≤3级
41,2013-12-08,严重污染,341,97,179,192,48,61,3.01,5,霾/晴,-1℃/10℃,北风4-5级/北风4-5级
42,2013-12-09,良,97,26,11,16,9,21,0.59,39,晴/晴,-5℃/7℃,北风3-4级/无持续风向≤3级
43,2013-12-10,优,36,1,20,44,14,29,0.96,29,多云/晴,-4℃/7℃,北风4-5级/北风4-5级
44,2013-12-11,优,33,2,19,29,14,29,0.74,31,晴/晴,-3℃/6℃,无持续风向≤3级/北风3-4级
45,2013-12-12,优,36,1,15,28,10,24,0.75,35,晴/晴,-6℃/3℃,北风4-5级/无持续风向≤3级
46,2013-12-13,优,41,4,47,63,29,45,1.3,16,晴/晴,-5℃/5℃,无持续风向≤3级/无持续风向≤3级
47,2013-12-14,良,64,11,40,47,29,40,1.18,26,晴/晴,-6℃/5℃,无持续风向≤3级/无持续风向≤3级
48,2013-12-15,良,61,16,47,55,31,49,1.52,18,晴/晴,-5℃/5℃,无持续风向≤3级/无持续风向≤3级
49,2013-12-16,良,92,47,104,127,59,71,2.55,6,多云/小雪,-4℃/2℃,无持续风向≤3级/无持续风向≤3级
50,2013-12-17,轻度污染,137,78,58,45,35,38,1.34,31,多云/晴,-7℃/2℃,无持续风向≤3级/无持续风向≤3级
51,2013-12-18,优,32,19,27,41,22,30,0.81,31,晴/晴,-8℃/3℃,无持续风向≤3级/无持续风向≤3级
52,2013-12-19,优,49,22,45,59,29,49,1.22,22,晴/晴,-7℃/1℃,无持续风向≤3级/无持续风向≤3级
53,2013-12-20,良,63,24,30,46,28,46,1.1,25,晴/晴,-8℃/3℃,无持续风向≤3级/无持续风向≤3级
54,2013-12-21,优,50,3,64,84,44,69,1.64,20,晴/多云,-6℃/2℃,无持续风向≤3级/无持续风向≤3级
55,2013-12-22,轻度污染,132,60,134,177,67,95,2.74,7,晴/晴,-6℃/3℃,无持续风向≤3级/无持续风向≤3级
56,2013-12-23,中度污染,199,74,126,165,61,90,2.87,12,晴/晴,-6℃/4℃,无持续风向≤3级/无持续风向≤3级
57,2013-12-24,重度污染,202,64,221,268,95,123,4.85,6,霾/霾,-6℃/4℃,无持续风向≤3级/无持续风向≤3级
58,2013-12-25,严重污染,278,80,166,216,64,92,3.2,24,霾/晴,-5℃/6℃,北风4-5级/北风4-5级
59,2013-12-26,良,91,18,9,19,8,20,0.4,50,晴/晴,-9℃/2℃,北风3-4级/无持续风向≤3级
60,2013-12-27,优,24,1,16,21,19,34,0.59,23,多云/多云,-6℃/1℃,无持续风向≤3级/无持续风向≤3级
61,2013-12-28,优,39,3,11,19,11,22,0.38,20,晴/晴,-7℃/3℃,无持续风向≤3级/无持续风向≤3级
62,2013-12-29,良,58,7,57,86,47,75,1.73,15,晴/晴,-6℃/6℃,无持续风向≤3级/无持续风向≤3级
63,2013-12-30,良,74,9,41,83,27,51,1.06,27,晴/晴,-5℃/8℃,无持续风向≤3级/无持续风向≤3级
64,2013-12-31,良,93,32,51,149,23,49,1.27,33,晴/晴,-3℃/8℃,北风3-4级/无持续风向≤3级
65,2014-01-01,良,86,31,44,110,27,62,1.48,27,晴/晴,-4℃/10℃,无持续风向≤3级/无持续风向≤3级
66,2014-01-02,轻度污染,117,65,110,166,71,92,3.4,8,晴/晴,-2℃/8℃,无持续风向≤3级/无持续风向≤3级
67,2014-01-03,良,80,29,46,97,28,52,1.3,32,晴/晴,-5℃/9℃,北风3-4级/无持续风向≤3级
68,2014-01-04,中度污染,153,127,116,149,40,76,2.84,4,多云/多云,-3℃/3℃,无持续风向≤3级/无持续风向≤3级
69,2014-01-05,轻度污染,119,48,89,116,35,67,2.29,15,晴/阴,-4℃/6℃,无持续风向≤3级/无持续风向≤3级
70,2014-01-06,中度污染,184,112,139,160,46,68,2.38,4,阴/阴,-3℃/2℃,无持续风向≤3级/无持续风向≤3级
71,2014-01-07,轻度污染,143,116,110,124,34,59,1.97,20,多云/多云,-5℃/6℃,北风3-4级/北风3-4级
72,2014-01-08,优,29,1,15,25,13,21,0.51,43,晴/晴,-9℃/0℃,北风3-4级/无持续风向≤3级
73,2014-01-09,优,43,4,26,45,19,34,0.8,35,晴/晴,-9℃/1℃,无持续风向≤3级/无持续风向≤3级
74,2014-01-10,良,87,59,63,94,53,70,1.89,9,晴/晴,-8℃/4℃,无持续风向≤3级/无持续风向≤3级
75,2014-01-11,轻度污染,143,124,109,131,77,92,2.8,8,晴/晴,-5℃/4℃,无持续风向≤3级/北风3-4级
76,2014-01-12,优,42,6,23,42,25,36,0.69,39,晴/晴,-9℃/2℃,无持续风向≤3级/无持续风向≤3级
77,2014-01-13,轻度污染,110,113,82,107,66,78,2.3,9,晴/晴,-7℃/2℃,无持续风向≤3级/无持续风向≤3级
78,2014-01-14,轻度污染,109,84,82,108,67,75,2.37,12,晴/晴,-7℃/4℃,无持续风向≤3级/无持续风向≤3级
79,2014-01-15,轻度污染,148,104,122,149,74,91,2.8,10,晴/阴,-4℃/3℃,无持续风向≤3级/无持续风向≤3级
80,2014-01-16,严重污染,381,183,343,376,110,122,4.45,9,霾/小雪,-4℃/5℃,无持续风向≤3级/无持续风向≤3级
81,2014-01-17,重度污染,211,134,169,200,67,76,2.51,12,多云/晴,-6℃/4℃,北风3-4级/无持续风向≤3级
82,2014-01-18,轻度污染,104,48,77,84,43,62,1.57,21,晴/多云,-4℃/6℃,无持续风向≤3级/无持续风向≤3级
83,2014-01-19,中度污染,177,98,115,186,71,72,2.51,17,阴/晴,-4℃/6℃,北风4-5级/北风4-5级
84,2014-01-20,优,37,1,7,33,6,15,0.32,56,晴/晴,-5℃/3℃,北风4-5级/北风3-4级
85,2014-01-21,良,51,13,35,47,33,45,0.95,31,晴/晴,-6℃/5℃,无持续风向≤3级/无持续风向≤3级
86,2014-01-22,中度污染,153,166,117,143,74,92,2.3,8,晴/多云,-4℃/5℃,无持续风向≤3级/无持续风向≤3级
87,2014-01-24,中度污染,185,143,147,167,78,92,2.78,12,多云/多云,-3℃/8℃,无持续风向≤3级/无持续风向≤3级
88,2014-01-25,优,40,4,22,39,23,39,0.88,41,晴/多云,-5℃/8℃,无持续风向≤3级/无持续风向≤3级
89,2014-01-26,良,77,80,52,81,45,47,0.99,29,晴/多云,-5℃/4℃,无持续风向≤3级/无持续风向≤3级
90,2014-01-27,轻度污染,128,131,89,119,56,60,1.78,23,晴/晴,-5℃/10℃,北风3-4级/无持续风向≤3级
91,2014-01-28,良,61,45,40,76,28,39,0.92,42,晴/晴,-5℃/6℃,南风3-4级/无持续风向≤3级
92,2014-01-29,中度污染,155,146,118,142,70,75,2.3,9,多云/多云,-2℃/5℃,无持续风向≤3级/无持续风向≤3级
93,2014-01-30,良,93,49,67,90,37,44,1.16,42,晴/晴,-4℃/7℃,无持续风向≤3级/无持续风向≤3级
94,2014-01-31,中度污染,184,71,143,181,63,47,1.44,21,多云/雾,-2℃/4℃,无持续风向≤3级/无持续风向≤3级
95,2014-02-01,中度污染,179,134,135,146,51,57,1.99,7,阴/雾,-1℃/6℃,无持续风向≤3级/无持续风向≤3级
96,2014-02-02,轻度污染,105,68,63,93,18,30,1.19,43,晴/多云,-4℃/9℃,北风4-5级/北风4-5级
97,2014-02-03,优,40,11,5,31,4,8,0.3,69,晴/晴,-7℃/1℃,北风4-5级/北风3-4级
98,2014-02-04,优,50,64,26,39,19,21,0.62,56,晴/多云,-7℃/1℃,无持续风向≤3级/无持续风向≤3级
99,2014-02-05,轻度污染,116,181,87,101,52,48,1.58,25,晴/阴,-5℃/1℃,无持续风向≤3级/无持续风向≤3级
100,2014-02-06,中度污染,158,185,119,131,67,65,2.08,20,阴/小到中雪,-4℃/0℃,无持续风向≤3级/无持续风向≤3级
101,2014-02-07,轻度污染,124,164,94,60,34,51,1.45,23,小雪/小雪,-5℃/-2℃,无持续风向≤3级/无持续风向≤3级
102,2014-02-08,轻度污染,102,155,72,43,23,38,1.27,33,晴/晴,-9℃/0℃,北风3-4级/北风3-4级
103,2014-02-09,优,29,27,8,15,15,17,0.45,55,晴/晴,-11℃/-2℃,无持续风向≤3级/无持续风向≤3级
104,2014-02-10,优,35,20,23,27,25,37,0.74,42,晴/晴,-10℃/0℃,无持续风向≤3级/无持续风向≤3级
105,2014-02-11,轻度污染,133,167,100,114,58,78,2.09,17,晴/晴,-9℃/0℃,无持续风向≤3级/无持续风向≤3级
106,2014-02-12,轻度污染,150,154,111,115,53,77,2.15,21,晴/多云,-7℃/2℃,无持续风向≤3级/无持续风向≤3级
107,2014-02-13,重度污染,241,184,190,176,74,84,2.85,16,小雪/阴,-6℃/0℃,无持续风向≤3级/无持续风向≤3级
108,2014-02-14,严重污染,311,187,265,295,73,94,3.11,13,霾/多云,-5℃/2℃,无持续风向≤3级/无持续风向≤3级
109,2014-02-15,严重污染,424,186,387,443,102,107,3.75,14,霾/多云,-4℃/3℃,无持续风向≤3级/无持续风向≤3级
110,2014-02-16,严重污染,339,182,296,204,79,87,3.18,26,霾/多云,-4℃/5℃,无持续风向≤3级/无持续风向≤3级
111,2014-02-17,轻度污染,137,152,104,50,65,71,2.03,30,多云/多云,-4℃/4℃,无持续风向≤3级/无持续风向≤3级
112,2014-02-18,良,95,151,70,84,37,61,1.13,26,阴/小雪,-4℃/2℃,无持续风向≤3级/无持续风向≤3级
113,2014-02-19,良,89,98,66,74,34,61,1.23,29,晴/晴,-5℃/5℃,无持续风向≤3级/无持续风向≤3级
114,2014-02-20,重度污染,208,175,161,171,43,78,2.16,9,霾/雾,-4℃/4℃,无持续风向≤3级/无持续风向≤3级
115,2014-02-21,严重污染,308,185,257,284,77,103,2.67,20,霾/雾,-2℃/3℃,无持续风向≤3级/无持续风向≤3级
116,2014-02-22,严重污染,313,182,262,299,99,101,3.32,11,霾/雾,0℃/4℃,无持续风向≤3级/无持续风向≤3级
117,2014-02-23,严重污染,262,177,212,248,128,92,3.61,9,霾/雾,-1℃/4℃,无持续风向≤3级/无持续风向≤3级
118,2014-02-24,严重污染,309,178,259,327,133,119,4.74,10,霾/雾,1℃/7℃,无持续风向≤3级/无持续风向≤3级
119,2014-02-25,严重污染,402,184,353,390,75,121,5.29,8,霾/雾,2℃/9℃,无持续风向≤3级/无持续风向≤3级
120,2014-02-26,严重污染,330,184,315,250,80,105,3.7,13,小雨/阴,2℃/9℃,无持续风向≤3级/北风3-4级
121,2014-02-27,优,31,1,15,22,12,22,0.43,57,晴/晴,-3℃/9℃,北风3-4级/无持续风向≤3级
122,2014-02-28,轻度污染,106,165,77,102,32,71,1.5,15,阴/多云,-2℃/5℃,无持续风向≤3级/无持续风向≤3级
123,2014-03-01,良,57,71,38,57,23,48,0.84,50,晴/晴,-2℃/10℃,无持续风向≤3级/无持续风向≤3级
124,2014-03-02,中度污染,175,160,134,164,60,93,2.55,19,晴/晴,-2℃/10℃,无持续风向≤3级/无持续风向≤3级
125,2014-03-03,严重污染,267,187,217,247,95,102,4.17,5,霾/阴,1℃/6℃,无持续风向≤3级/北风3-4级
126,2014-03-04,良,88,126,59,80,28,40,1.3,43,晴/晴,-3℃/8℃,北风4-5级/北风3-4级
127,2014-03-05,优,38,8,19,34,16,34,0.77,49,晴/晴,-3℃/9℃,无持续风向≤3级/无持续风向≤3级
128,2014-03-06,优,36,2,15,27,14,29,0.6,55,晴/晴,-3℃/7℃,无持续风向≤3级/无持续风向≤3级
129,2014-03-07,良,63,89,44,66,24,47,1.02,35,多云/阴,-1℃/8℃,无持续风向≤3级/无持续风向≤3级
130,2014-03-08,中度污染,191,175,146,180,69,95,2.37,26,晴/晴,-2℃/8℃,无持续风向≤3级/无持续风向≤3级
131,2014-03-09,轻度污染,126,145,94,118,45,68,1.59,37,晴/霾,-2℃/10℃,无持续风向≤3级/无持续风向≤3级
132,2014-03-10,轻度污染,108,109,80,100,53,72,1.67,22,晴/霾,2℃/11℃,无持续风向≤3级/无持续风向≤3级
133,2014-03-11,重度污染,207,182,158,197,75,82,2.38,36,霾/小雨,3℃/12℃,无持续风向≤3级/北风4-5级
134,2014-03-12,优,36,4,10,22,8,25,0.4,63,晴/晴,-2℃/10℃,北风3-4级/无持续风向≤3级
135,2014-03-13,良,58,35,20,79,14,37,0.63,51,多云/多云,3℃/13℃,无持续风向≤3级/无持续风向≤3级
136,2014-03-14,良,62,13,20,78,13,31,0.51,63,晴/晴,2℃/16℃,无持续风向≤3级/无持续风向≤3级
137,2014-03-15,轻度污染,128,154,93,172,42,89,1.46,28,晴/晴,5℃/19℃,无持续风向≤3级/无持续风向≤3级
138,2014-03-16,中度污染,151,168,113,198,76,72,2.11,51,晴/多云,5℃/17℃,无持续风向≤3级/北风3-4级
139,2014-03-17,中度污染,181,151,82,240,26,49,1.2,45,浮尘/晴,5℃/19℃,北风4-5级/北风4-5级
140,2014-03-18,良,86,48,36,121,16,35,0.61,71,多云/阴,6℃/16℃,无持续风向≤3级/无持续风向≤3级
141,2014-03-19,良,75,35,46,93,16,45,0.77,48,阴/晴,5℃/12℃,北风3-4级/北风4-5级
142,2014-03-20,优,37,1,10,27,5,22,0.38,66,晴/晴,4℃/17℃,北风3-4级/无持续风向≤3级
143,2014-03-21,良,54,17,24,63,11,43,0.62,52,晴/晴,5℃/20℃,无持续风向≤3级/无持续风向≤3级
144,2014-03-22,良,82,89,46,114,16,53,0.84,49,晴/晴,6℃/23℃,北风3-4级/无持续风向≤3级
145,2014-03-23,中度污染,166,176,126,176,41,67,1.53,76,晴/多云,6℃/20℃,无持续风向≤3级/无持续风向≤3级
146,2014-03-25,重度污染,241,183,191,229,46,89,1.54,89,霾/霾,9℃/23℃,无持续风向≤3级/无持续风向≤3级
147,2014-03-26,严重污染,322,189,272,321,44,110,1.98,65,霾/霾,10℃/22℃,无持续风向≤3级/无持续风向≤3级
148,2014-03-27,严重污染,294,188,249,300,33,106,2.37,15,霾/阵雨,13℃/21℃,无持续风向≤3级/无持续风向≤3级
149,2014-03-28,中度污染,169,172,127,170,24,66,1.69,38,霾/多云,11℃/21℃,无持续风向≤3级/无持续风向≤3级
150,2014-03-29,良,72,74,39,76,7,36,0.58,60,晴/晴,8℃/22℃,无持续风向≤3级/无持续风向≤3级
151,2014-03-30,良,63,39,31,77,8,57,0.54,47,晴/阴,10℃/24℃,无持续风向≤3级/无持续风向≤3级
152,2014-03-31,中度污染,172,183,132,183,34,80,1.75,45,小雨/多云,9℃/20℃,无持续风向≤3级/无持续风向≤3级
153,2014-04-01,轻度污染,140,178,105,118,16,60,0.94,74,霾/多云,11℃/23℃,无持续风向≤3级/无持续风向≤3级
154,2014-04-02,轻度污染,131,175,99,157,20,57,0.98,75,阴/阴,10℃/22℃,无持续风向≤3级/北风3-4级
155,2014-04-03,良,63,48,22,79,5,36,0.46,59,晴/晴,7℃/20℃,北风4-5级/无持续风向≤3级
156,2014-04-04,良,91,119,31,131,8,39,0.56,56,晴/晴,8℃/24℃,北风4-5级/北风3-4级
157,2014-04-05,良,64,34,21,80,5,29,0.38,74,晴/晴,6℃/21℃,无持续风向≤3级/无持续风向≤3级
158,2014-04-06,良,97,146,52,142,12,58,0.65,53,晴/晴,9℃/26℃,南风3-4级/无持续风向≤3级
159,2014-04-07,轻度污染,133,178,97,175,19,62,0.8,79,晴/晴,10℃/27℃,无持续风向≤3级/无持续风向≤3级
160,2014-04-08,重度污染,224,187,173,237,37,82,1.47,89,霾/霾,12℃/25℃,无持续风向≤3级/南风3-4级
161,2014-04-09,中度污染,194,184,121,238,19,50,0.9,78,晴/晴,11℃/28℃,北风4-5级/东北风3-4级
162,2014-04-10,严重污染,271,190,86,379,27,51,1.28,48,多云/阴,11℃/18℃,无持续风向≤3级/无持续风向≤3级
163,2014-04-11,良,88,107,59,112,16,60,0.96,53,阴/多云,11℃/18℃,无持续风向≤3级/无持续风向≤3级
164,2014-04-12,轻度污染,131,158,99,135,24,75,1.44,61,多云/多云,9℃/22℃,无持续风向≤3级/无持续风向≤3级
165,2014-04-13,中度污染,197,174,151,183,25,71,1.28,88,晴/霾,12℃/23℃,无持续风向≤3级/无持续风向≤3级
166,2014-04-14,严重污染,284,190,234,266,38,69,1.83,139,霾/多云,15℃/24℃,南风3-4级/无持续风向≤3级
167,2014-04-15,轻度污染,132,159,91,142,16,61,0.97,48,多云/阴,12℃/24℃,南风3-4级/无持续风向≤3级
168,2014-04-16,良,83,122,51,113,11,68,0.74,39,多云/小雨,12℃/21℃,无持续风向≤3级/无持续风向≤3级
169,2014-04-17,轻度污染,121,149,91,124,18,70,1.38,48,阴/多云,11℃/17℃,无持续风向≤3级/无持续风向≤3级
170,2014-04-18,中度污染,181,178,138,124,16,64,1.54,50,多云/阴,12℃/20℃,无持续风向≤3级/无持续风向≤3级
171,2014-04-19,良,83,160,61,83,14,64,0.78,49,小雨/晴,8℃/16℃,无持续风向≤3级/无持续风向≤3级
172,2014-04-20,良,82,127,59,79,7,53,0.63,52,多云/多云,10℃/22℃,无持续风向≤3级/无持续风向≤3级
173,2014-04-21,良,68,88,48,79,7,55,0.58,57,晴/晴,10℃/25℃,无持续风向≤3级/无持续风向≤3级
174,2014-04-22,良,80,112,57,101,9,54,0.58,77,晴/多云,13℃/27℃,无持续风向≤3级/无持续风向≤3级
175,2014-04-23,轻度污染,149,174,112,146,20,41,0.89,87,多云/多云,16℃/27℃,南风3-4级/无持续风向≤3级
176,2014-04-24,中度污染,152,177,115,133,18,46,0.92,92,多云/多云,16℃/23℃,无持续风向≤3级/无持续风向≤3级
177,2014-04-25,中度污染,175,179,129,189,20,68,1.03,76,雷阵雨/阵雨,12℃/25℃,无持续风向≤3级/无持续风向≤3级
178,2014-04-26,良,65,102,37,82,4,27,0.35,59,晴/晴,9℃/23℃,无持续风向≤3级/无持续风向≤3级
179,2014-04-27,良,74,112,50,91,6,46,0.62,60,晴/多云,11℃/26℃,无持续风向≤3级/无持续风向≤3级
180,2014-04-28,良,84,138,61,97,7,49,0.72,79,晴/晴,11℃/25℃,无持续风向≤3级/无持续风向≤3级
181,2014-04-29,轻度污染,118,169,89,143,17,67,0.94,86,晴/晴,13℃/28℃,无持续风向≤3级/无持续风向≤3级
182,2014-04-30,轻度污染,139,175,102,158,19,66,0.97,93,晴/晴,16℃/29℃,无持续风向≤3级/无持续风向≤3级
183,2014-05-01,中度污染,166,176,121,186,18,41,0.85,95,雷阵雨/阵雨,14℃/27℃,北风4-5级/北风4-5级
184,2014-05-02,优,48,17,22,45,2,21,0.29,73,多云/阴,12℃/23℃,北风5-6级/无持续风向≤3级
185,2014-05-03,良,94,137,36,128,5,42,0.42,49,雷阵雨/扬沙,10℃/24℃,北风5-6级/北风5-6级
186,2014-05-04,良,55,43,25,59,3,17,0.34,72,晴/晴,7℃/19℃,北风4-5级/无持续风向≤3级
187,2014-05-05,优,50,44,23,54,3,37,0.44,59,多云/多云,8℃/21℃,北风3-4级/无持续风向≤3级
188,2014-05-06,良,99,155,73,124,26,61,0.92,62,雷阵雨/雷阵雨,10℃/21℃,无持续风向≤3级/无持续风向≤3级
189,2014-05-07,良,95,135,62,102,11,45,0.91,62,晴/晴,12℃/25℃,北风3-4级/无持续风向≤3级
190,2014-05-08,轻度污染,102,115,74,107,15,46,0.99,91,多云/多云,14℃/23℃,无持续风向≤3级/无持续风向≤3级
191,2014-05-09,良,88,121,61,106,33,52,1.33,80,阴/阴,15℃/20℃,无持续风向≤3级/无持续风向≤3级
192,2014-05-10,良,72,145,50,87,27,50,1.17,75,阵雨/小到中雨,10℃/20℃,无持续风向≤3级/无持续风向≤3级
193,2014-05-11,优,45,52,24,20,3,29,0.82,68,小雨/阴,8℃/15℃,无持续风向≤3级/无持续风向≤3级
194,2014-05-12,良,60,53,34,68,6,43,0.65,68,晴/晴,16℃/29℃,无持续风向≤3级/无持续风向≤3级
195,2014-05-13,良,89,113,51,123,10,56,0.65,62,多云/晴,16℃/30℃,北风3-4级/北风3-4级
196,2014-05-14,良,55,48,17,62,7,26,0.29,69,多云/晴,10℃/24℃,北风4-5级/无持续风向≤3级
197,2014-05-15,轻度污染,116,177,59,180,7,60,0.55,51,阴/浮尘,16℃/28℃,无持续风向≤3级/无持续风向≤3级
198,2014-05-16,良,92,99,47,128,9,50,0.57,80,晴/晴,15℃/28℃,无持续风向≤3级/无持续风向≤3级
199,2014-05-17,良,98,118,55,120,23,59,0.97,102,多云/多云,16℃/28℃,无持续风向≤3级/无持续风向≤3级
200,2014-05-18,轻度污染,112,153,79,145,23,55,0.94,125,晴/雷阵雨,19℃/30℃,无持续风向≤3级/无持续风向≤3级
201,2014-05-19,轻度污染,140,166,104,156,14,43,0.98,143,多云/晴,17℃/31℃,北风3-4级/无持续风向≤3级
202,2014-05-20,轻度污染,121,141,78,129,9,45,0.89,111,多云/晴,18℃/31℃,无持续风向≤3级/无持续风向≤3级
203,2014-05-21,轻度污染,142,153,107,168,25,52,1.46,126,晴/晴,19℃/31℃,无持续风向≤3级/无持续风向≤3级
204,2014-05-22,中度污染,191,186,138,198,37,62,1.44,111,晴/晴,22℃/35℃,南风3-4级/无持续风向≤3级
205,2014-05-23,轻度污染,127,175,80,155,19,55,0.81,120,多云/雷阵雨,20℃/33℃,南风3-4级/无持续风向≤3级
206,2014-05-24,轻度污染,101,162,75,80,5,45,1.01,54,小雨/阴,19℃/25℃,无持续风向≤3级/无持续风向≤3级
207,2014-05-25,轻度污染,121,141,65,114,2,29,0.67,57,浮尘/晴,16℃/30℃,北风4-5级/北风3-4级
208,2014-05-26,良,65,54,21,76,4,54,0.44,62,晴/晴,19℃/35℃,无持续风向≤3级/无持续风向≤3级
209,2014-05-27,轻度污染,105,85,35,149,4,43,0.39,64,浮尘/晴,19℃/33℃,北风5-6级/北风4-5级
210,2014-05-28,良,80,76,30,90,8,54,0.6,90,晴/多云,22℃/37℃,无持续风向≤3级/无持续风向≤3级
211,2014-05-29,良,97,78,42,116,9,65,0.69,103,晴/多云,23℃/38℃,无持续风向≤3级/无持续风向≤3级
212,2014-05-30,轻度污染,140,128,81,167,34,57,1.49,169,晴/多云,22℃/37℃,无持续风向≤3级/无持续风向≤3级
213,2014-05-31,中度污染,157,160,112,210,42,58,2.11,166,多云/阵雨,24℃/34℃,无持续风向≤3级/无持续风向≤3级
214,2014-06-01,良,88,138,43,65,2,27,0.65,132,阴/阴,19℃/29℃,无持续风向≤3级/无持续风向≤3级
